WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
11747,216,2024-02-09,12:00:00,216,263.5739,50.23435,283.16,9720,280.46,0.007826135
11747,622,2024-02-09,12:00:00,622,254.0749,42.01266,279.96,9250,277.56,0.006474992
11747,693,2024-02-09,12:00:00,693,252.4468,41.30991,279.36,9170,277.26,0.006353721
11747,792,2024-02-09,12:00:00,792,248.7871,35.85929,280.36,9060,275.36,0.005534135
11747,1317,2024-02-09,12:00:00,1317,235.5817,31.35014,277.96,8500,273.26,0.004798884
11747,2215,2024-02-09,12:00:00,2215,215.5305,29.16627,271.66,7600,271.66,0.004368324
11747,2871,2024-02-09,12:00:00,2871,201.1656,22.12964,268.46,7000,267.66,0.003277262
11747,3862,2024-02-09,12:00:00,3862,181.3893,14.25137,262.46,6160,261.46,0.00206559
11747,4780,2024-02-09,12:00:00,4780,163.2352,8.638133,258.86,5460,255.06,0.001235634
11747,5450,2024-02-09,12:00:00,5450,151.2841,7.132629,255.86,5000,252.56,0.001009
11747,5631,2024-02-09,12:00:00,5631,148.2571,6.530814,254.86,4880,251.46,0.0009204202
11747,6493,2024-02-09,12:00:00,6493,135.2256,4.340241,248.66,4340,246.36,0.0005974767
11747,7090,2024-02-09,12:00:00,7090,127.0615,2.484414,244.06,4000,240.06,0.000335955
11747,8185,2024-02-09,12:00:00,8185,112.9604,0.8495419,234.86,3420,228.86,0.0001107323
11747,8471,2024-02-09,12:00:00,8471,109.1966,0.3185759,233.06,3280,220.06,0.00004121944
11747,8492,2024-02-09,12:00:00,8492,108.9557,0.3506683,232.86,3270,220.86,0.00004533446
11747,8724,2024-02-09,12:00:00,8724,106.1953,0.5044491,230.86,3160,223.86,0.00006467849
11747,9006,2024-02-09,12:00:00,9006,103.0004,0.1852603,228.26,3030,215.26,0.00002349687
11747,9070,2024-02-09,12:00:00,9070,102.2489,0.1957113,227.66,3000,215.66,0.00002475981
11747,9594,2024-02-09,12:00:00,9594,96.52915,0.204415,222.66,2770,215.66,0.00002531581
11747,10260,2024-02-09,12:00:00,10260,89.53791,0.07642216,216.66,2500,207.66,0.000009219474
11747,10285,2024-02-09,12:00:00,10285,89.34487,0.07264056,216.26,2490,207.26,0.00000874772
11747,10543,2024-02-09,12:00:00,10543,86.47487,0.1089101,214.46,2390,210.16,0.00001301055
11747,11640,2024-02-09,12:00:00,11640,75.68398,0.02895584,205.06,2000,200.06,0.000003313122
11747,12362,2024-02-09,12:00:00,12362,68.8614,0.01332651,199.46,1770,194.66,0.000001484684
11747,12505,2024-02-09,12:00:00,12505,65.9817,0.01985653,203.46,1730,197.46,0.000002254908
11747,216,2024-02-09,12:00:00,216,263.5739,50.23435,283.16,9720,280.46,0.007826135
11747,622,2024-02-09,12:00:00,622,254.0749,42.01266,279.96,9250,277.56,0.006474992
11747,693,2024-02-09,12:00:00,693,252.4468,41.30991,279.36,9170,277.26,0.006353721
11747,792,2024-02-09,12:00:00,792,248.7871,35.85929,280.36,9060,275.36,0.005534135
11747,1317,2024-02-09,12:00:00,1317,235.5817,31.35014,277.96,8500,273.26,0.004798884
11747,2215,2024-02-09,12:00:00,2215,215.5305,29.16627,271.66,7600,271.66,0.004368324
11747,2871,2024-02-09,12:00:00,2871,201.1656,22.12964,268.46,7000,267.66,0.003277262
11747,3862,2024-02-09,12:00:00,3862,181.3893,14.25137,262.46,6160,261.46,0.00206559
