WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
15420	91	2024-02-10	12:00:00	91	264.958	32.6352	289.96	9970	274.96	0.005200096
15420	730	2024-02-10	12:00:00	730	250.5801	23.42604	284.96	9250	269.96	0.003671619
15420	1022	2024-02-10	12:00:00	1022	243.3813	21.00249	283.36	8930	268.36	0.003274223
15420	1432	2024-02-10	12:00:00	1432	234.3633	22.49814	279.96	8500	268.96	0.003467414
15420	2015	2024-02-10	12:00:00	2015	222.0552	18.80263	275.16	7910	266.16	0.002850625
15420	2613	2024-02-10	12:00:00	2613	207.6595	20.16878	272.86	7340	266.86	0.003033433
15420	2996	2024-02-10	12:00:00	2996	200.5215	20.04384	269.46	7000	266.46	0.002978891
15420	3223	2024-02-10	12:00:00	3223	196.2668	19.41885	267.46	6800	265.86	0.002865612
15420	3385	2024-02-10	12:00:00	3385	192.8165	13.34046	267.06	6660	261.06	0.001965829
15420	3527	2024-02-10	12:00:00	3527	189.7498	16.24487	266.26	6540	263.46	0.002386991
15420	3563	2024-02-10	12:00:00	3563	189.1491	13.7664	266.06	6510	261.36	0.002021362
15420	3695	2024-02-10	12:00:00	3695	186.2144	5.891675	266.26	6400	251.26	0.0008657117
15420	3991	2024-02-10	12:00:00	3991	180.5265	12.19488	263.86	6160	259.66	0.001776505
15420	4079	2024-02-10	12:00:00	4079	178.1398	15.87084	264.06	6090	262.96	0.002313675
15420	5017	2024-02-10	12:00:00	5017	158.9591	10.129	262.26	5390	257.26	0.001467029
15420	5074	2024-02-10	12:00:00	5074	157.8176	9.317438	262.26	5350	256.26	0.001349487
15420	5600	2024-02-10	12:00:00	5600	149.8874	6.823712	258.26	5000	252.26	0.0009739346
15420	5767	2024-02-10	12:00:00	5767	147.5139	6.555258	256.66	4890	251.66	0.0009300894
15420	6143	2024-02-10	12:00:00	6143	141.5162	3.540667	254.66	4650	244.66	0.0004986302
15420	6337	2024-02-10	12:00:00	6337	138.8005	4.396913	252.86	4530	246.86	0.000615037
15420	6452	2024-02-10	12:00:00	6452	136.9563	2.661734	252.46	4460	241.46	0.0003717592
15420	6927	2024-02-10	12:00:00	6927	130.0797	3.182767	249.06	4180	243.06	0.0004388122
15420	6997	2024-02-10	12:00:00	6997	128.9802	4.42045	248.66	4140	246.56	0.0006085183
15420	7250	2024-02-10	12:00:00	7250	125.5186	2.425754	247.06	4000	240.06	0.0003318756
15420	7322	2024-02-10	12:00:00	7322	124.479	2.122124	246.66	3960	238.66	0.0002898858
15420	7942	2024-02-10	12:00:00	7942	116.448	2.412553	241.66	3630	239.56	0.0003231692
15420	8380	2024-02-10	12:00:00	8380	110.9996	1.316255	238.26	3410	233.26	0.0001739425
15420	9124	2024-02-10	12:00:00	9124	102.1031	0.9968361	232.46	3060	230.16	0.0001286591
15420	9260	2024-02-10	12:00:00	9260	100.6239	0.9142852	231.26	3000	229.26	0.0001174207
15420	9419	2024-02-10	12:00:00	9419	98.96359	0.8407514	229.66	2930	228.36	0.0001072608
15420	9604	2024-02-10	12:00:00	9604	96.94881	0.5656864	228.06	2850	224.66	0.00007168664
15420	10470	2024-02-10	12:00:00	10470	88.06543	0.2801375	220.26	2500	218.06	0.00003433461
15420	10758	2024-02-10	12:00:00	10758	85.1985	0.2218104	217.66	2390	215.96	0.00002687757
15420	11001	2024-02-10	12:00:00	11001	82.83122	0.1279318	215.46	2300	211.46	0.00001535138
15420	11684	2024-02-10	12:00:00	11684	76.53441	0.0716494	208.86	2060	206.66	0.000008344285
15420	11860	2024-02-10	12:00:00	11860	74.88	0.04329348	207.26	2000	202.96	0.000005004783
15420	11982	2024-02-10	12:00:00	11982	73.80995	0.03790832	206.06	1960	201.96	0.000004357827
15420	12622	2024-02-10	12:00:00	12622	67.92732	0.01636183	201.06	1760	196.06	0.000001836931
15420	12859	2024-02-10	12:00:00	12859	65.81496	0.01400484	199.26	1690	194.96	0.000001558746
15420	12929	2024-02-10	12:00:00	12929	65.03601	0.01564131	199.26	1670	195.66	0.000001740887
15420	91	2024-02-10	12:00:00	91	264.958	32.6352	289.96	9970	274.96	0.005200096
15420	730	2024-02-10	12:00:00	730	250.5801	23.42604	284.96	9250	269.96	0.003671619
