WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
12843,139,2024-02-12,11:00:00,139,267.9841,39.95411,283.16,9860,277.16,0.006224549
12843,667,2024-02-12,11:00:00,667,256.1116,35.38809,278.16,9250,274.96,0.005420692
12843,862,2024-02-12,11:00:00,862,251.4756,34.77653,276.56,9030,274.56,0.005297889
12843,1352,2024-02-12,11:00:00,1352,239.5517,25.71177,273.76,8500,270.16,0.003879242
12843,1953,2024-02-12,11:00:00,1953,225.4358,21.74005,269.86,7880,267.56,0.003235545
12843,2054,2024-02-12,11:00:00,2054,221.2337,24.84246,271.26,7780,269.46,0.003715522
12843,2696,2024-02-12,11:00:00,2696,207.0747,21.00176,267.26,7170,266.86,0.003096994
12843,2889,2024-02-12,11:00:00,2889,202.8199,19.71296,266.46,7000,265.96,0.002898657
12843,4876,2024-02-12,11:00:00,4876,164.3781,7.628388,253.86,5390,253.16,0.001071081
12843,5440,2024-02-12,11:00:00,5440,155.2708,5.361306,249.46,5000,248.76,0.0007403042
12843,6324,2024-02-12,11:00:00,6324,141.6998,2.385247,241.86,4420,239.46,0.0003197644
12843,6550,2024-02-12,11:00:00,6550,138.2422,2.304721,240.06,4280,238.96,0.0003067691
12843,7020,2024-02-12,11:00:00,7020,131.6636,1.102423,235.66,4000,231.36,0.0001441625
12843,7072,2024-02-12,11:00:00,7072,131.0247,0.7775229,235.06,3970,228.06,0.0001014277
12843,8410,2024-02-12,11:00:00,8410,113.1518,0.3014438,222.86,3250,218.86,0.00003736455
12843,8820,2024-02-12,11:00:00,8820,107.9352,0.2213669,219.26,3050,216.06,0.00002701319
12843,8930,2024-02-12,11:00:00,8930,106.5562,0.1826663,218.46,3000,214.46,0.00002221248
12843,9189,2024-02-12,11:00:00,9189,103.0504,0.1382922,216.86,2880,212.16,0.00001669819
12843,9277,2024-02-12,11:00:00,9277,101.808,0.1112516,216.46,2840,210.46,0.00001340934
