WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
11747,216,2024-02-25,00:00:00,216,274.8402,35.63355,276.16,9850,274.86,0.005420985
11747,282,2024-02-25,00:00:00,282,269.863,38.38484,278.76,9770,276.16,0.005891779
11747,451,2024-02-25,00:00:00,451,263.6521,39.60057,279.36,9570,276.66,0.006090815
11747,727,2024-02-25,00:00:00,727,255.432,37.57612,278.76,9250,275.86,0.005767648
11747,771,2024-02-25,00:00:00,771,254.0837,36.78252,278.76,9200,275.56,0.005645836
11747,1415,2024-02-25,00:00:00,1415,238.8877,28.19068,274.36,8500,271.46,0.00426211
11747,2228,2024-02-25,00:00:00,2228,221.4928,19.72085,267.46,7670,266.06,0.002910179
11747,2455,2024-02-25,00:00:00,2455,215.5402,8.513326,267.66,7450,255.66,0.001257194
11747,2678,2024-02-25,00:00:00,2678,210.6675,6.429046,266.26,7240,252.26,0.0009446719
11747,2945,2024-02-25,00:00:00,2945,205.3159,4.579825,264.26,7000,248.26,0.0006681357
11747,3954,2024-02-25,00:00:00,3954,185.4233,1.163641,256.46,6130,233.46,0.0001649798
11747,4239,2024-02-25,00:00:00,4239,180.1391,1.396774,254.06,5900,235.06,0.0001962646
11747,4327,2024-02-25,00:00:00,4327,178.4763,3.139097,253.26,5830,243.26,0.0004397576
11747,4794,2024-02-25,00:00:00,4794,170.3503,1.607038,249.06,5470,236.06,0.0002215645
11747,4915,2024-02-25,00:00:00,4915,167.9188,2.262895,248.46,5380,239.46,0.0003112703
11747,5106,2024-02-25,00:00:00,5106,164.283,0.7344159,247.46,5240,228.46,0.0001006334
11747,5287,2024-02-25,00:00:00,5287,160.8245,1.394098,246.46,5110,234.46,0.0001902886
11747,5386,2024-02-25,00:00:00,5386,159.2425,1.902502,245.46,5040,237.46,0.0002586766
11747,5450,2024-02-25,00:00:00,5450,158.3613,1.989139,244.86,5000,237.86,0.0002698243
11747,6041,2024-02-25,00:00:00,6041,148.4814,1.906295,240.26,4600,237.06,0.0002539391
11747,6164,2024-02-25,00:00:00,6164,146.4192,1.199279,239.46,4520,232.46,0.0001592479
11747,7010,2024-02-25,00:00:00,7010,133.7213,0.806065,232.06,4000,228.16,0.0001038652
11747,7147,2024-02-25,00:00:00,7147,131.7304,0.7460483,230.86,3920,227.36,0.0000956554
11747,7444,2024-02-25,00:00:00,7444,127.5759,0.4880018,228.06,3750,223.36,0.00006184205
11747,8900,2024-02-25,00:00:00,8900,107.8426,0.1178794,215.86,3000,210.86,0.00001417036
11747,9376,2024-02-25,00:00:00,9376,101.5348,0.08049683,212.46,2780,207.76,0.000009530026
11747,216,2024-02-25,00:00:00,216,274.8402,35.63355,276.16,9850,274.86,0.005420985
11747,282,2024-02-25,00:00:00,282,269.863,38.38484,278.76,9770,276.16,0.005891779
11747,451,2024-02-25,00:00:00,451,263.6521,39.60057,279.36,9570,276.66,0.006090815
11747,727,2024-02-25,00:00:00,727,255.432,37.57612,278.76,9250,275.86,0.005767648
11747,771,2024-02-25,00:00:00,771,254.0837,36.78252,278.76,9200,275.56,0.005645836
11747,1415,2024-02-25,00:00:00,1415,238.8877,28.19068,274.36,8500,271.46,0.00426211
11747,2228,2024-02-25,00:00:00,2228,221.4928,19.72085,267.46,7670,266.06,0.002910179
11747,2455,2024-02-25,00:00:00,2455,215.5402,8.513326,267.66,7450,255.66,0.001257194
11747,2678,2024-02-25,00:00:00,2678,210.6675,6.429046,266.26,7240,252.26,0.0009446719
11747,2945,2024-02-25,00:00:00,2945,205.3159,4.579825,264.26,7000,248.26,0.0006681357
11747,3954,2024-02-25,00:00:00,3954,185.4233,1.163641,256.46,6130,233.46,0.0001649798
11747,4239,2024-02-25,00:00:00,4239,180.1391,1.396774,254.06,5900,235.06,0.0001962646
11747,4327,2024-02-25,00:00:00,4327,178.4763,3.139097,253.26,5830,243.26,0.0004397576
11747,4794,2024-02-25,00:00:00,4794,170.3503,1.607038,249.06,5470,236.06,0.0002215645
11747,4915,2024-02-25,00:00:00,4915,167.9188,2.262895,248.46,5380,239.46,0.0003112703
11747,5106,2024-02-25,00:00:00,5106,164.283,0.7344159,247.46,5240,228.46,0.0001006334
11747,5287,2024-02-25,00:00:00,5287,160.8245,1.394098,246.46,5110,234.46,0.0001902886
11747,5386,2024-02-25,00:00:00,5386,159.2425,1.902502,245.46,5040,237.46,0.0002586766
11747,5450,2024-02-25,00:00:00,5450,158.3613,1.989139,244.86,5000,237.86,0.0002698243
11747,6041,2024-02-25,00:00:00,6041,148.4814,1.906295,240.26,4600,237.06,0.0002539391
11747,6164,2024-02-25,00:00:00,6164,146.4192,1.199279,239.46,4520,232.46,0.0001592479
11747,7010,2024-02-25,00:00:00,7010,133.7213,0.806065,232.06,4000,228.16,0.0001038652
11747,7147,2024-02-25,00:00:00,7147,131.7304,0.7460483,230.86,3920,227.36,0.0000956554
11747,7444,2024-02-25,00:00:00,7444,127.5759,0.4880018,228.06,3750,223.36,0.00006184205
11747,8900,2024-02-25,00:00:00,8900,107.8426,0.1178794,215.86,3000,210.86,0.00001417036
11747,9376,2024-02-25,00:00:00,9376,101.5348,0.08049683,212.46,2780,207.76,0.000009530026
