WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
11952	701	2024-02-21	11:00:00	701	259.9622	31.30619	278.16	9380	273.26	0.004795433
11952	762	2024-02-21	11:00:00	762	258.7683	27.76394	277.56	9310	271.56	0.004244118
11952	816	2024-02-21	11:00:00	816	257.5061	27.0328	277.16	9250	271.16	0.004126693
11952	1496	2024-02-21	11:00:00	1496	241.88	23.92714	271.26	8500	268.96	0.003578623
11952	1924	2024-02-21	11:00:00	1924	232.5914	21.65391	267.26	8050	267.26	0.003193162
11952	2239	2024-02-21	11:00:00	2239	225.2912	16.10849	265.26	7730	263.26	0.002358485
11952	2269	2024-02-21	11:00:00	2269	224.0276	10.52341	266.06	7700	258.06	0.001545184
11952	2330	2024-02-21	11:00:00	2330	222.0127	9.185508	266.46	7640	256.46	0.001350667
11952	2801	2024-02-21	11:00:00	2801	210.4643	3.664472	264.86	7190	245.86	0.0005357539
11952	3012	2024-02-21	11:00:00	3012	205.6692	6.784786	263.66	7000	252.66	0.0009876691
11952	3543	2024-02-21	11:00:00	3543	194.7591	7.619762	259.66	6530	253.66	0.001093174
11952	3626	2024-02-21	11:00:00	3626	192.757	5.869736	259.66	6460	250.66	0.0008421053
11952	3779	2024-02-21	11:00:00	3779	188.7927	10.25791	259.46	6330	257.16	0.001470577
11952	4309	2024-02-21	11:00:00	4309	178.0508	6.555258	256.66	5900	251.66	0.0009300894
11952	5530	2024-02-21	11:00:00	5530	156.4758	3.880504	247.66	5000	245.06	0.0005321368
11952	6409	2024-02-21	11:00:00	6409	142.2847	2.476074	240.86	4420	239.76	0.0003306276
11952	7070	2024-02-21	11:00:00	7070	131.7614	1.128456	236.66	4020	231.66	0.0001481662
11952	7110	2024-02-21	11:00:00	7110	131.2124	1.216459	236.46	4000	232.36	0.0001595917
11952	7626	2024-02-21	11:00:00	7626	123.9081	0.9985175	232.26	3710	230.16	0.0001287699
11952	8270	2024-02-21	11:00:00	8270	114.9481	0.4961669	227.46	3370	223.46	0.00006271815
11952	8389	2024-02-21	11:00:00	8389	113.2035	0.4147769	226.86	3310	221.86	0.00005229738
11952	8510	2024-02-21	11:00:00	8510	111.6392	0.5088549	225.86	3250	223.56	0.00006388797
11952	8592	2024-02-21	11:00:00	8592	110.1782	0.2662258	226.06	3210	218.06	0.00003345369
11952	8992	2024-02-21	11:00:00	8992	104.9572	0.247557	223.26	3020	217.26	0.00003073803
11952	9050	2024-02-21	11:00:00	9050	104.4509	0.2091755	222.86	3000	215.86	0.00002592771
11952	9634	2024-02-21	11:00:00	9634	97.41247	0.1215314	218.26	2740	211.26	0.00001476539
11952	9776	2024-02-21	11:00:00	9776	95.63347	0.03666682	217.46	2680	202.46	0.00000443913
11952	10210	2024-02-21	11:00:00	10210	90.45815	0.03767938	214.46	2500	202.46	0.000004501228
11952	10311	2024-02-21	11:00:00	10311	89.17721	0.03569261	214.06	2460	202.06	0.000004256241
11952	10649	2024-02-21	11:00:00	10649	85.10073	0.03319442	212.46	2330	201.46	0.000003929891
11952	10976	2024-02-21	11:00:00	10976	81.17667	0.02423715	211.26	2210	199.26	0.000002853852
11952	701	2024-02-21	11:00:00	701	259.9622	31.30619	278.16	9380	273.26	0.004795433
11952	762	2024-02-21	11:00:00	762	258.7683	27.76394	277.56	9310	271.56	0.004244118
11952	816	2024-02-21	11:00:00	816	257.5061	27.0328	277.16	9250	271.16	0.004126693
11952	1496	2024-02-21	11:00:00	1496	241.88	23.92714	271.26	8500	268.96	0.003578623
11952	1924	2024-02-21	11:00:00	1924	232.5914	21.65391	267.26	8050	267.26	0.003193162
11952	2239	2024-02-21	11:00:00	2239	225.2912	16.10849	265.26	7730	263.26	0.002358485
11952	2269	2024-02-21	11:00:00	2269	224.0276	10.52341	266.06	7700	258.06	0.001545184
11952	2330	2024-02-21	11:00:00	2330	222.0127	9.185508	266.46	7640	256.46	0.001350667
11952	2801	2024-02-21	11:00:00	2801	210.4643	3.664472	264.86	7190	245.86	0.0005357539
11952	3012	2024-02-21	11:00:00	3012	205.6692	6.784786	263.66	7000	252.66	0.0009876691
11952	3543	2024-02-21	11:00:00	3543	194.7591	7.619762	259.66	6530	253.66	0.001093174
11952	3626	2024-02-21	11:00:00	3626	192.757	5.869736	259.66	6460	250.66	0.0008421053
11952	3779	2024-02-21	11:00:00	3779	188.7927	10.25791	259.46	6330	257.16	0.001470577
11952	4309	2024-02-21	11:00:00	4309	178.0508	6.555258	256.66	5900	251.66	0.0009300894
11952	5530	2024-02-21	11:00:00	5530	156.4758	3.880504	247.66	5000	245.06	0.0005321368
11952	6409	2024-02-21	11:00:00	6409	142.2847	2.476074	240.86	4420	239.76	0.0003306276
11952	7070	2024-02-21	11:00:00	7070	131.7614	1.128456	236.66	4020	231.66	0.0001481662
11952	7110	2024-02-21	11:00:00	7110	131.2124	1.216459	236.46	4000	232.36	0.0001595917
11952	7626	2024-02-21	11:00:00	7626	123.9081	0.9985175	232.26	3710	230.16	0.0001287699
11952	8270	2024-02-21	11:00:00	8270	114.9481	0.4961669	227.46	3370	223.46	0.00006271815
11952	8389	2024-02-21	11:00:00	8389	113.2035	0.4147769	226.86	3310	221.86	0.00005229738
11952	8510	2024-02-21	11:00:00	8510	111.6392	0.5088549	225.86	3250	223.56	0.00006388797
11952	8592	2024-02-21	11:00:00	8592	110.1782	0.2662258	226.06	3210	218.06	0.00003345369
11952	8992	2024-02-21	11:00:00	8992	104.9572	0.247557	223.26	3020	217.26	0.00003073803
11952	9050	2024-02-21	11:00:00	9050	104.4509	0.2091755	222.86	3000	215.86	0.00002592771
11952	9634	2024-02-21	11:00:00	9634	97.41247	0.1215314	218.26	2740	211.26	0.00001476539
11952	9776	2024-02-21	11:00:00	9776	95.63347	0.03666682	217.46	2680	202.46	0.00000443913
11952	10210	2024-02-21	11:00:00	10210	90.45815	0.03767938	214.46	2500	202.46	0.000004501228
11952	10311	2024-02-21	11:00:00	10311	89.17721	0.03569261	214.06	2460	202.06	0.000004256241
11952	10649	2024-02-21	11:00:00	10649	85.10073	0.03319442	212.46	2330	201.46	0.000003929891
11952	10976	2024-02-21	11:00:00	10976	81.17667	0.02423715	211.26	2210	199.26	0.000002853852
